filename,product_name,price_default,price_card,price_discount,barcode,discount_amount,id_sku,print_datetime,code,additional_info,color,special_symbols,frame_timestamp,x_min,y_min,x_max,y_max,qr_code_barcode,price1_qr,price2_qr,price3_qr,price4_qr,wholesale_level_1_count,wholesale_level_1_price,wholesale_level_2_count,wholesale_level_2_price,action_price_qr,action_code_qr
track_00000,Buno Bm0 EMHO Bиo,,,,,нет,,,,GRILLWNE; cpаpнсe 6en; сраpнсe 6en; cpAupнce 6en; cpаupнcs 6en; oemce6en; Gen; cpоupс; cyx.(Pocc) 1L; cyx.(Poccaa); Len; (PoCc)1L; GMno; EMno; cpoe; (Pocca); Bи1o; сроврс; Cpo; (Pocc); cpоарс; GRILLWDNE; GM10; GMo; 6en; сроерх; cроер; (Pocc) 1L; Cro,promo,standard,нет,0,0,261,240,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет
track_00002,,,,,,нет,,,,нет,promo,standard,нет,0,0,211,228,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет
track_00003,бe3 6e3 б83 C60,603.32,нет,3.63,,нет,,,,3-=2; C603; 6es; CC3T; C0DT2; C0D2; G603; CC3T2,promo,standard,нет,0,0,218,216,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет
track_00012,3 по цене 2 по цене 2 по цене от цены без,,,,,нет,,,,3 по цене 2; по цене 2; по цене; от цены без; отцены; от цены; 6e3; карты,promo,standard,нет,0,0,256,248,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет
track_00014,3поцене цене2 3поцене2 поцене2,7189.39,нет,11.89,,нет,,,,3 поцене2; отценыбез; 6e3; отцены; отценыбе; цеHы; от цены без; корты; корT; корт; цены; отцены без; отцены бе; 3 поцене; 3 по цене2,promo,standard,нет,0,0,218,211,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет
track_00028,BO TORO BO TORD 6en07 6en q7,659.92,нет,1.97,,нет,,,,BO TORO; BO TORD; 6en q7; 6n9; (AT)1; (AT)1L; APT; (A2DT)1L; A)L; A2T)1L; A2P; 031L,promo,standard,нет,0,0,272,242,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет
track_00030,GRLLWINE GRILLWINE RLLWNE cpaо2p0,290.11,нет,1.11,,29%,,,,cpооpо; 6en; cpoo; cyx.(Poco) 1L; (Pocoe) 1L; Cno; CYk; (Pocoe); CRLLWINE; SYE; &en; p0p2p0; cpooapo 6en; cpoospoe6en; (Pocc) 1L; MNE; cy (Pocc) 1L; cyx(Poco) 1L; Bmo; cpоopc; cyr(Pocc; CYR,promo,discount_percent,нет,0,0,268,226,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет
track_00031,3 по цене 2 3 по цене по цене от цены без,,,,,нет,,,,3 по цене 2; 3 по цене; по цене; от цены без; 6е3; отцены; от цены; бе3; 6e3; карты; цены без,promo,standard,нет,0,0,255,237,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет
track_00045,Mnare Mnara Miare Muara,,,,,нет,,,,Mnaro; Gnnza; 6nnxa; 6nnza,promo,standard,нет,0,0,267,265,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет
track_00049,,,,,,нет,,,,нет,promo,standard,нет,0,0,207,197,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет
