Категория,Ссылка на товар,Полное название,Бренд,Тип товара,Название у поставщика,Состав,Назначение,Описание
Для пушистых гурманов,https://lenta.com/product/korm-dlya-koshek-perl-nezhnoe-file-s-kuricejj-v-souse-pauch-rossiya-75g-611244/,"Корм влажный для взрослых кошек ГУРМЭ Перл Курица в соусе, 75г купить со скидкой до 5% в магазине Лента | Москва, Санкт-Петербург, Россия",ГУРМЭ,,ГУРМЭ,"Мясо и мясные ингредиенты (включая курицу), экстракты растительного белка, рыба и продукты ее переработки, аминокислоты, минеральныевещества, сахара, загустители, витамины.",,"Мясо и мясные ингредиенты (включая курицу), экстракты растительного белка, рыба и продукты ее переработки, аминокислоты, минеральныевещества, сахара, загустители, витамины."
Для пушистых гурманов,https://lenta.com/product/korm-dkoshek-zhele-de-lyuks-s-govyadinojj-rossiya-75g-679453/,"Корм влажный для взрослых кошек ГУРМЭ Желе Де-Люкс, с говядиной в роскошном желе, 75г купить со скидкой до 5% в магазине Лента | Москва, Санкт-Петербург, Россия",ГУРМЭ,,ГУРМЭ,"Мясо и мясные ингредиенты (включая говядину), экстракты растительного белка, аминокислоты, рыба и продукты ее переработки,загустители, минеральные вещества, сахара, продукты переработки растительного сырья, витамины, ароматизатор говядина.",,"Мясо и мясные ингредиенты (включая говядину), экстракты растительного белка, аминокислоты, рыба и продукты ее переработки,загустители, минеральные вещества, сахара, продукты переработки растительного сырья, витамины, ароматизатор говядина."
Для пушистых гурманов,https://lenta.com/product/korm-perle-kurica-i-krolik-v-souse-75g-642230-rossiya-75g-642057/,"Корм влажный для взрослых кошек ГУРМЭ Перл Мясной Дуэт Курица и кролик в соусе, 75г купить со скидкой до 5% в магазине Лента | Москва, Санкт-Петербург, Россия",ГУРМЭ,,ГУРМЭ,"Мясо и мясные ингредиенты (в том числе курица и кролик), экстракты растительного белка, рыба и продукты ее переработки,аминокислоты, минеральные вещества, загустители, продукты переработки растительного сырья, сахара, витамины.",,"Мясо и мясные ингредиенты (в том числе курица и кролик), экстракты растительного белка, рыба и продукты ее переработки,аминокислоты, минеральные вещества, загустители, продукты переработки растительного сырья, сахара, витамины."
Для пушистых гурманов,https://lenta.com/product/korm-dlya-koshek-perl-sous-de-lyuks-s-lososem-v-roskoshnom-souse-pauch-rossiya-75g-611250/,"Корм влажный для взрослых кошек ГУРМЭ Перл Соус Де-люкс Лосось в соусе, 75г купить со скидкой до 5% в магазине Лента | Москва, Санкт-Петербург, Россия",ГУРМЭ,,ГУРМЭ,"Мясо и мясные ингредиенты, экстракты растительного белка, рыба и продукты ее переработки (лосось), аминокислоты, минеральныевещества, загустители, продукты переработки растительного сырья, сахара, витамины, ароматизатор лосося.",,"Мясо и мясные ингредиенты, экстракты растительного белка, рыба и продукты ее переработки (лосось), аминокислоты, минеральныевещества, загустители, продукты переработки растительного сырья, сахара, витамины, ароматизатор лосося."
Для пушистых гурманов,https://lenta.com/product/korm-dlya-koshek-perl-sous-de-lyuks-s-govyadinojj-v-roskoshnom-souse-pauch-rossiya-75g-611248/,"Корм влажный для взрослых кошек ГУРМЭ Перл Соус Де-люкс Говядина в соусе, 75г купить со скидкой до 5% в магазине Лента | Москва, Санкт-Петербург, Россия",ГУРМЭ,,ГУРМЭ,"Мясо и мясные ингредиенты (включая говядину), экстракты растительного белка, рыба и продукты ее переработки, аминокислоты,минеральные вещества, загустители, продукты переработки растительного сырья, сахара, витамины, ароматизатор говядины.",,"Мясо и мясные ингредиенты (включая говядину), экстракты растительного белка, рыба и продукты ее переработки, аминокислоты,минеральные вещества, загустители, продукты переработки растительного сырья, сахара, витамины, ароматизатор говядины."
Для пушистых гурманов,https://lenta.com/product/korm-dlya-koshek-perl-nezhnoe-file-s-lososem-v-souse-pauch-rossiya-75g-611245/,"Корм влажный для взрослых кошек ГУРМЭ Перл Лосось в соусе, 75г купить со скидкой до 5% в магазине Лента | Москва, Санкт-Петербург, Россия",ГУРМЭ,,ГУРМЭ,"Мясо и мясные ингредиенты, экстракты растительного белка, рыба и продукты ее переработки (лосось), аминокислоты, минеральныевещества, сахара, загустители, витамины.",,"Мясо и мясные ингредиенты, экстракты растительного белка, рыба и продукты ее переработки (лосось), аминокислоты, минеральныевещества, сахара, загустители, витамины."
Для пушистых гурманов,https://lenta.com/product/korm-perle-yazyk-i-telyatina-v-souse-75g-642231-rossiya-75g-642154/,"Корм влажный для взрослых кошек ГУРМЭ Перл Мясной Дуэт Язык и телятина в соусе, 75г купить со скидкой до 5% в магазине Лента | Москва, Санкт-Петербург, Россия",ГУРМЭ,,ГУРМЭ,"Мясо и мясные ингредиенты (в том числе курица и кролик), экстракты растительного белка, рыба и продукты ее переработки,аминокислоты, минеральные вещества, загустители, продукты переработки растительного сырья, сахара, витамины.",,"Мясо и мясные ингредиенты (в том числе курица и кролик), экстракты растительного белка, рыба и продукты ее переработки,аминокислоты, минеральные вещества, загустители, продукты переработки растительного сырья, сахара, витамины."
Для пушистых гурманов,https://lenta.com/product/korm-dkoshek-naturalnye-recepty-tomlenaya-indejjka-s-goroshkom-pauch-rossiya-75g-568662/,"Корм влажный для взрослых кошек ГУРМЭ Натуральные рецепты, томленая индейка с горошком, 75г купить со скидкой до 5% в магазине Лента | Москва, Санкт-Петербург, Россия",ГУРМЭ,,ГУРМЭ,"Мясо и мясные ингредиенты (включая индейку), экстракты растительного белка, овощи (горошек и кабачки), аминокислоты, рыба и продуктыее переработки, минеральные вещества, загустители (ингредиенты натурального происхождения), продукты переработки растительногосырья, сахара, витамины.",,"Мясо и мясные ингредиенты (включая индейку), экстракты растительного белка, овощи (горошек и кабачки), аминокислоты, рыба и продуктыее переработки, минеральные вещества, загустители (ингредиенты натурального происхождения), продукты переработки растительногосырья, сахара, витамины."
Для пушистых гурманов,https://lenta.com/product/korm-dlya-koshek-perl-nezhnoe-file-s-govyadinojj-v-souse-pauch-rossiya-75g-611241/,"Корм влажный для взрослых кошек ГУРМЭ Перл Говядина в соусе, 75г купить со скидкой до 5% в магазине Лента | Москва, Санкт-Петербург, Россия",ГУРМЭ,,ГУРМЭ,"Мясо и мясные ингредиенты (включая говядину), экстракты растительного белка, рыба и продукты ее переработки, аминокислоты,минеральные вещества, сахара, загустители, витамины.",,"Мясо и мясные ингредиенты (включая говядину), экстракты растительного белка, рыба и продукты ее переработки, аминокислоты,минеральные вещества, сахара, загустители, витамины."
Для пушистых гурманов,https://lenta.com/product/korm-dkoshek-naturalnye-recepty-kurica-na-paru-s-morkovyu-pauch-rossiya-75g-568621/,"Корм влажный для взрослых кошек ГУРМЭ Натуральные рецепты, курица на пару с морковью, 75г купить со скидкой до 5% в магазине Лента | Москва, Санкт-Петербург, Россия",ГУРМЭ,,ГУРМЭ,"Мясо и мясные ингредиенты (включая курицу), экстракты растительного белка, аминокислоты, рыба и продукты ее переработки, минеральныевещества, овощи (шпинат и морковь), загустители (ингредиенты натурального происхождения), продукты переработки растительного сырья,сахара, витамины.",,"Мясо и мясные ингредиенты (включая курицу), экстракты растительного белка, аминокислоты, рыба и продукты ее переработки, минеральныевещества, овощи (шпинат и морковь), загустители (ингредиенты натурального происхождения), продукты переработки растительного сырья,сахара, витамины."
